post_text,label
"I too take Seroquel. It has done wonders for my sleep cycle and I now get the sleep I need. I also take a high dose of Effexor  (antidepressant) and Buspar (for anxiety). This combination works well for me and this came to from years of trying other meds that didn't have the desired results. I suffer from bipolar 2, severe depression, and anxiety. 
The amount of medication seems excessive but maybe you can eliminate some if they aren't helping you. I'm not a Dr though so make sure you stop and start your meds with Dr's guidance. Good luck to you and I hope this helps. Wishing you peace and happiness.",1
Its always hard getting a proper diagnosis. Often there are those who have more than one diagnosis. My kids have adhd bipolar with sczophernic tendicies.I myself am bipolar anxiety and ptsd insomnia so I do take a lot of pills I like u have a lot of physical conditions as well for which I take meds. The important thing is to let each doctor know what you are taking. Also be proactive know medicine side effects read up on them it gets confusing but the more u knw about them the more it's helps,1
"It's really just a matter of opinion. My therapist today said that there's two sides to depression, how you think, and the imbalance. I've been on seroquel for 8 years and due to insomnia I too only get 2-4 hours of sleep without it which is the leading cause of my issues (depression, phobia related anxiety, ADD, GAD). His way of putting it is that the prescription helps you put on a different pair of glasses until you can handle the sun again on your own. I really liked that.",1
Megan ur medication is more important that u take ur pills. They will help u stay strong. It's not anything more important than taking my pilp. I go manic offend. And it's a struggle for me when I'm like that. I get so depressed that I don't come out of my room for day other then going to the bathroom. Please thqt u medication.,1
I was told to do this and it does work but here is a technique that at psychotherapist should advise you on for it to work. I and a fear of dying but it got me through a c-section and I was allowed to keep the band on. X,1
"What I hate its like holding your breath for the worst to happen while your body is acting crazy giving you danger signals . 
Then the feeling never passes it stays with you horrible torture, tormented",1
Stress ball maybe,1
"You know whats been helping me? A fidget cube. It fits in my hand and ive been actually falling asleep with it because that's when my anxiety is the worst. Idk about the band thing, I've never heard of it, but I'm just letting you know the cube helps me, especially if you are concerned about self harm.",1
It's where you put an elastic band (like a rubber band or hair tie) on your wrist and when you start to feel anxious/nervous (or any other bad habit/emotion) you snap the band against your wrist. It didn't work for me because I have an extremely high pain tolerance.,1
"Being a partner to someone who has a mental illness must be so hard. But the things you describe are true and honest triggers for me. It's NEVER an excuse, it's a monster living in his head. I've been in relationships where I was treated bad because of my bipolar and anxiety. Now I'm married to the most calm and loving man that never makes me feel worse when I'm having an episode or being triggered by something that seems ""ridiculous."" I'm not trying to be shitty, but just because you work in mental health, doesn't mean you're equipped to live with it at home. He just needs your love and acceptance, not blame and anger.",1
Can't you put the animals in crates and close the bedroom door so you guys could sleep together? I know crate training takes time but in the end you will both come to find out the less the animals disturb your sleep the better you both feel.,1
"Firstly you are definately entitled to vent. And i can imagine it would be extremely difficult to be in that situation. Its not fair that you are working so hard and losing sleep and are clearly struggling because you're exhausted. Can you make different arangements for the animals to sleep, maybe in another room or something or maybe you could try a different sleeping arangement. I think it would be a good idea to see a psychologist or consellor for yourself as well. And try talking to him about how everything is affecting you. Maybe you could go back to the doctor or a counsellor together to try to find a way to make things work better. Its great that he has made improvements though.",1
"Has he tried therapy by chance? Therapy drained me, and I ended up dropping out. I was in group therapy, but I also have PTSD and severe anxiety along with BP. I couldn't take on hearing other's traumatic situations anymore. It did teach me coping skills and renewed coping skills I'd forgot I had tho. I've NEVER used my illness as an excuse to act out wrongly. Unfortunately I do still get flustered from time to time and have outbursts, (usually over the smallest things) before I can help myself but, I try and stop it as soon as I realize it, and I own up to it. I admit I was wrong, and apologize. For me it's about being very vigilant of myself at all times. Especially since I don't do pharmaceuticals. Perhaps therapy and learning such skills could benefit him? I'm sure he doesn't mean to be that way..it's just as exhausting for him as well, believe it or not. Wishing you strength and courage in working thru this.   ",1
"It's not fair to resort to ""leave him then"". All relationships take work and dedication through everything, hardships included. Throw a mental illness into the mix and it gets difficult to the max. 
My husband and I both suffer from mental illness and it's an almost daily struggle to not lose our shit. But we love each other. We are dedicated to each other. There are times when it feels like he doesn't understand my predicament and there's times I act like I don't understand his, But at the end of the day (or week), our love prevails.
Don't give up and just ""leave"" when there's enough love and dedication to survive through the storm. It's not easy, but nothing worth having ever is.",1
"My wife left me about 9 months ago after a 8 year relationship. decided to jist pack up and leave on Christmas without warning because she couldn't deal with my anxiety and depression. It still hurts me but it will get better, you have to believe.  Hang in there.",1
"i have mental illness, bipolar, BPD, PTSD anxiety etc etc. and my last girlfriend and i were only together for 3 years, she also has Bipolar, some days were a mess, but we loved each other increibly deeply and i loved every min we were together, sadly, loving someone isnt always enough to save a relationship from ending.  Mental illness doesnt make a person less dateable, but it can definitely add challenges.  <3  have a wonderful weekend peeps !!",1
"Yah I would coz they might struggle at times but it's worth while in the end if you love them then there ""illness"" shouldn't matter",1
Wow I can't even read anymore. How insulted I feel reading some of these comments of people so vehemently rejecting those with mental illness. Wow. Thank God I found someone who loves me and isn't afraid of me! Damn!      Utterly disappointed in the overall negative view.,1
"I myself have a mental illness, both of my parents have a mental illness, I know my father's mother had several mental illnesses. I was married to a man with bipolar and mild schizophrenia. My current husband has anxiety, but I couldn't go through a spouse with bipolar again even though I have it myself.",1
Hurtful question..n alot of insensitive comments. Its not like we can help it.  So on top of hereditary mental health issues...i have to be forever single?  That works wonders on depression n anxiety. Thanks. :'(,1
People with mental illness are jus like the next person. They jus have to take medicine. I have bipolar disorder and anxiety. A person learns to cope and people learn to be with them or give up on them.,1
Yes I can see no reason why not. Mental illness doesnt equate to danger or misery. Being an arsehole on the other hand will gauruntee misery,1
Of course.  In fact I'd rather be.  I worry about being with someone neurotypical who will either take advantage of me or end up resenting me because they don't understand.,1
My boyfriend has bipolar anxiety and anger issues so yes,1
No..I suffer from anxiety...and clinical depression...I live with it..and it would very hard to be involved with someone who has same problem.,1
I am in a relationship with my same sex partner which suffers from bipolar. Myself with depression and anxiety disorder. It's extremely tedious 90% of the time with the unpredictability of his emotions and my anxiety having a blast off that.,1
"As somebody with a lot of mental problems, of course I would. It can be difficult sometimes and it can sometimes be stressful, but I believe that if you truly love that person, an illness shouldn't stop that.",1
Shame i thought I'd married someone kind and gentle. But after working non stop. Ending up taking coke to keep me going.  I was banned from my house my buisness ended up in jail my choice to try and get help. The only one to stand by me was my daughter and she is only 12years old. It's hurts more than any thing. Yes I have depression and anxiety. But I hid it well.  Broken hearted is a understatement. But if i can help anyone going thru the same i would,1
"My husband has mental problems,thru no fault of his own,been a struggle but we are getting through it day at time   ❤",1
I was married to a paranoid schizophrenic unfortunately didn't work out cause were both ill but still great friends,1
"My boyfriend and I both struggle with mental illness so when one is down and struggling, the other who knows all too well how hard it can be and is the support system. I have cptsd and he is agoraphobic with severe anxiety, so they're both very different but we know we can always get through to the other side together",1
"Well, my wife is married to one (I suffer with depression, anxiety, and probably some other stuff), so I'd be hypocritical to say no...",1
"Married one, had a baby, he left, it got 100% worse once baby arrived. Being with someone with a mental illness is incredibly stressful and draining, waking up and being on eggshells every day/hour not knowing what mood they will be in is very challenging, especially a person who is not willing to accept their diagnosis and will not accept help.",1
"Yes because I suffer from depression/anxiety disorder. If I dated anyone ""normal"" (whatever the hell that is) I'd be bored.",1
"Doesn't sound like it's worth sticking around.  You need someone one who loves you for who you are, what you go through and how hard it is to function.  I'm in the same boat with you and am at the point where I'd be better off alone.  Just haven't figured out how to be brave enough to do 8.  No love, no compassion, no empathy.   I already feel like I'm living by myself, just with a stranger in the house.  I'm lonely and scared.  Good luck to you and GOD!!",1
"I guess I would. If they could talk about it. But myself I don't think I'm ready for one. I tried earlier in the year. But her attitude to things didn't help. I never told her about my own issues. But she belittled other peoples. That I just never went back to see her. I still have a lot of pain from a long term relationship break up. She was unfaithful, and untruthful. Accused me of doing what she was actually doing. I couldn't go out alone. So I always took one of her kids with me. They would tell me she asked if I spoke to any ladies, while we was out. If I went out with friends and she didn't come. Next day she would be checking pics on the venue or their fb accounts. If she didn't see me. I was accused of meeting someone and using the friends as excuse. (It was what she was doing)! I guess I still have feelings for her. Even thought she's drove me down into deep depressive state and I'm now showing symptoms of social anxiety disorder and paranoia. Would I want to be with someone like it? I'm really not sure. The normal me is non judgemental compassionate understanding and empathic. But the current me is struggling with my own issues. I'm not sure I could cope with another, with similar or worse issues!",1
I have bipolar and my husband has severe anxiety. We celebrated our 13th wedding anniversary two days ago.,1
"Not everyone is capable of handling the stress of being with someone with a mental illness, and that's okay. It's better to know your limits then put you and the other person in a situation neither can handle. It may seem shallow to you Nick Kemp but it's more about being realistic in what you can handle.",1
My husband has bad anxiety and is seriously insecure and he also has depression. But he's still an amazing husband and father. He's kind and funny and sweet and loving and compassionate. He never lets me go a day without making sure I know he loves me.,1
Lovely and in prision for what  ????  I suffer with depression anxiety but it dont make me do  bad things to end up in jail and cry i hav mental illness,1
"I believe it. I am 4 years older than my gf and before she was ""of age"" her mom constantly threatened to get me arrested if I did anything she did not like.",1
Would depend on what and how bad....if she were uncontrollably violent may not but to an extent don't we all have some mental illness in us??,1
"If you are at all wondering if you should go to the ER, you probably should. It's scary and I've done it. I have Bipolar II as well and anxiety disorder. I've been in behavioural units, and you're right, a lot of times its hard to even get in. I hope you feel better, I understand. Ask yourself if you feel safe. If you don't, go to the ER, they've always treated me so well there.",1
"make a list!! Its so helpful! And no worries on forgetting, see them more than once!!!!",1
I worry about what others think as well,1
Always make a list that way you won't forget. In fact my partner has a meds review tomorrow and I have already written down Two questions I need to ask. If you struggle to talk take someone whom you can talk to and get them to speak on your behalf. I have spoken on my partners behalf for 6 years. She expects me to do the right thing by her and that is what I do. Good luck.,1
My anxiety fuels my agitation and rage and that fuels my anxiety. It doesn't end. Just be very honest.,1
"Write everything down you need to tell him. This is important for your nerves will make you forget somethings. I've done it a lot and the doc needs to hear as much as you can tell him to help you. To me, remembering I'm not a doc, you have more than depression, but that's why you need to write it down, a list. The list will make you not so scared too.",1
"YES!!!!  Write it down.  Make notes.  Talk with the psychiatrist.  Please know it is not a one & done situation.  You talk to the Psy. then they assess and there is follow-up.  Please push yourself.  Be sure to share what you need.  If you find you have forgotten something, write it down for the next time.  You said your ""doctor"" diagnosed you?  If you mean your normal primary care physician, they are not qualified to make such a diagnosis. And, I sincerely hope he is not prescribing meds for the conditions without therapist or psychiatrist input. I suffer from both Anxiety & Depression, and was that same person that you describe above.  Please consider seeing a therapist/counselor, as well as the psychiatrist.  This way you get treatment and medication if you need it.",1
Hey there...you will do great!  I was terrified too and I did make some notes to bring with me but for my assessment they basically went through my history from when I started having trouble.  So you could make some notes on that esp if you're anxious but in my experience they are very understanding and make you feel at ease.  You will definitely feel better afterward and they can figure out if your diagnosis is accurate.  They can also help you learn to control the urges when you understand where they are coming from.  Remember the beginning is the scariest part and you've worked for this appointment.  You'll do fine!!,1
"Yep! My bf says he only gets 2 good weeks with me. The other 2 weeks I'm an irritable, angry, bitch, sometimes.   ",1
I have depression and anxiety and it ruined my life,1
"Yes, but you may have PMDD. I'd call your gynecologist, or if you don't have one set up an appointment, and have him/her diagnose you. I have PMDD and Bipolar, ADD, and anxiety and I get SO MUCH worse, like you do, whenever it's time for my period.",1
"Omg my periods used to be a nightmare. I was an angry anxious emotional mess. Until I got the Mirena IUD. It took about 6 months and then my periods stopped and I only have a little spotting sometimes, it's works by keeping the blood from lining in your uterus. The best part is, it only releases hormones into your uterus and not thru your bloodstream. I used to become suicidal on any other birth control. I also tried the copper IUD but it made me bleed so bad they had to take it out at the ER.",1
I have anxiety and depression and I get very moody a week prior.,1
"I don't have bipolar or bpd, but I have ADD, Anxiety, and Depression that I'm being treated for.  I used to have that same problem with my cycle that you described.  It was finally diagnosed as premenstrual dysphoria.  I was eventually diagnosed with Polycystic Ovarian Syndrome (a very common reproductive disorder in women.  1 in 10 have it.  Many do not know about it.).  I was put on medication to treat the PCOS and the premenstrual dysphoria pretty much went away.  If you haven't been checked for PCOS or other female reproductive problems, you might want to look into those.  I include information about Premenstrual Dysphoria:  http://www.webmd.com/women/pms/premenstrual-dysphoric-disorder#1",1
That could be a horror  movie!,1
It would be a horror film,1
That would be horrifying. I rarely have nice dreams. Almost always nightmares. The higher my stress levels are the more intense and real they seem.,1
We would all be very disturbed by what we found.,1
"I have bipolar, depression and anxiety NO MEDICATION & no fking insurance   ",1
"Anxiety or bipolar       
Dis me       ",1
I stress reading this       ,1
"Thanks for starting this thread. I am constantly sexually frustrated as I am committed to my partner, who says that I am obsessed by sex. So I'm not going to act out but feel like I'm burning inside,  sometimes for weeks. I hadn't considered it could be symptomatic. Thanks for sharing all",1
"Try

Autism
PTSD
Anxiety
Bipolar

I think I'll die twenty years before I should :(",1
"Yes, maybe I'm manic a little more than others who are Bipolar 2, but this has been a long generated problem since before my diagnosis. Depression and anxiety came long before bipolar 2. I don't really prefer what type of sex it is, but there has to be intercourse or it's just more depressing and angering. 99% of the time, if I want someone, I'll pursue them, and I'm eerily persuasive. My sex habits have been nearly deadly, but thank god, to this day, nothing has ever happened or came up positive.",1
"obsessive behavior and no restraint is fairly common. Distraction and channeling your feelings into writing, art etc might help. Its just the way your brain chemistry works. There is no need to be ashamed just explore and try to understand how you work .",1
My onset was 15 with no adult helping me seek help. I was diagnosed bipolar at 25 but not on meds that helped the highs until I was 33. They made me so numb and I took them for 2 yrs. I hated the numb but It helped me see what I was doing to myself. Having sex with strangers was exciting in the moment but left me empty for weeks after. The meds completely took away my sex drive and I started valuing my other qualities not just my sexuality. I'm off meds now and I feel a healthier sense of self now then before.  Everyday is a new struggle but I'm happy to at least feel more in control of my sexuality,1
"I have hypersexuality. It's been a bit better with my pregabalin prescription. It takes the edge off for me. I go through phases of having a fairly normalish sex drive ( once a day ) which I class as ' wanting ' and then other phases which my sex drive is absurd ' needing ' it a few times a day. If it don't get it at either stage I get angry, upset, I watch a lot of porn. Then I have the rough sex part of it. I like being abused in the bedroom.. but according to the doctor that's a separate issue. I have an emotionally damaging childhood. The rough of it makes me feel relieved and less tense. I guess everyone is different",1
"Very brave to raise this symptom and for everyone who has posted comments of support. Its a very real and sometimes very destructive symptom of bipolar, and there should be no shame discussing it. To everyone here that has shared their experience off it, I completely understand and relate. To all those who are appalled by the subject and felt the need to comment negatively, why not just scroll past if its not relevant to you. Some of us already feel bad enough for having symptoms we can't control. Your disgust in the subject is dangerous to those struggling to understand. X x",1
I'm pretty sure your in a manic stage.   When I was manic I looked at everyone and thought they want me.  I'm a Christian and I felt so guilty about my thoughts.  It was my chemicals.  A brain is an amazing thing just look what humans can do but with that said we are full of our own chemicals so when your chemicals are off in your brain our thoughts are distorted.  My advice is call your doctor and talk to them.   God Bless.  I'm stable now and only want sex with my husband. ( I still love sex!!),1
"I had no idea this was part of my condition, no Dr or therapist ever mentioned it. They always mention drugs or alcohol, but never sex. So I was embarrassed to say anything about it. Thanks to everyone who was open to help others.",1
"I met a guy 16 years ago....he introduced me to BDSM. I never looked back. I've been on just about all the BP meds. Nothing helped so I tried to just go with it. There's no shame. When I stopped trying to live up to society's expectations and met MY own needs I felt better. I don't care what anyone thinks about my life choices either. I stopped trying to hide shit, fight and ""fix"" the way my brain works and embraced it",1
People...there's a huge difference between a dominant partner and an asshat. If they don't make you feel good it's wrong. If they hurt you and don't stop when prompted...that's wrong. A true Dom wants his sub to be happy and secure. There should be no real fear. And NEVER let another person hold your freedom. That is super wrong.,1
I went through about 12 years wanting sex of all kinds... That's when I found out I was bi sexual... And I went crazy having sex with folk guys and chicks (mainly chicks of course)... But since X'mas this year I've done it like 3 times... It's all kinda worn off now.... Which is a shame I miss it...I think about it but my fella doesn't wake up....,1
